date,atom_price,atom_norm,account_value,account_norm,value,value_norm
2025-10-28,3.18,0.09016393442622958,7317,0.06328228251574283,1511326338,0.10979043106483528
2025-10-27,3.26,0.12295081967213105,8548,0.1589831299074866,1548828466,0.14637406978097386
2025-10-26,3.14,0.07377049180327874,8425,0.1494208194044935,1491316461,0.09027062912393286
2025-10-25,3.18,0.09016393442622958,6665,0.012594262613698204,1509807906,0.10830918798169548
2025-10-24,3.18,0.09016393442622958,6613,0.008551659799424707,1509302101,0.10781577098464355
2025-10-23,3.11,0.061475409836065524,7646,0.088859519552204,1475583931,0.07492341486422974
2025-10-22,3.2,0.09836065573770499,7546,0.08108528337090881,1517780055,0.11608608583685787
2025-10-21,3.27,0.12704918032786885,7059,0.04322475316800124,1550461149,0.1479667656677241
2025-10-20,3.22,0.1065573770491804,7518,0.07890849724014616,1526241154,0.12433995849596353
2025-10-19,3.18,0.09016393442622958,6931,0.0332737308559434,1506776160,0.1053516944671115
2025-10-18,3.15,0.07786885245901635,6764,0.02029075643318044,1492060374,0.0909963224613413
2025-10-17,3.27,0.12704918032786885,7323,0.06374873668662054,1548381442,0.14593799413978775
2025-10-16,3.33,0.1516393442622951,6951,0.03482857809220244,1576263142,0.17313682508590797
2025-10-15,3.47,0.20901639344262302,10810,0.3348363523283837,1641982985,0.23724708018378798
2025-10-14,3.66,0.2868852459016394,8291,0.13900334292155797,1731310699,0.32438701038493695
2025-10-13,3.47,0.20901639344262302,8928,0.1885252273964083,1640884352,0.23617535452721652
2025-10-12,3.1,0.05737704918032791,9117,0.20321853377905622,1465428535,0.06501674134737441
2025-10-11,2.96,0.0,10042,0.2751302184560367,1398779447,0.0
2025-10-10,4.06,0.4508196721311473,11866,0.4169322864028609,1917953379,0.5064585017448903
2025-10-09,4.17,0.4959016393442622,9781,0.25483946202285623,1969258409,0.5565069865092922
2025-10-08,4.06,0.4508196721311473,10765,0.3313379460468009,1916669660,0.505206223151285
2025-10-07,4.27,0.5368852459016391,9270,0.21511311513643785,2015133534,0.6012585536485676
2025-10-06,4.13,0.4795081967213114,10130,0.28197154629557647,1948410934,0.5361701007319377
2025-10-05,4.13,0.4795081967213114,10815,0.3352250641374485,1947758147,0.5355333015677252
2025-10-04,4.29,0.5450819672131147,8812,0.1795071134261059,2022537916,0.6084815900587756
2025-10-03,4.29,0.5450819672131147,9650,0.24465521262535955,2021861114,0.6078213640617238
2025-10-02,4.15,0.487704918032787,14732,0.639741895358781,1955224119,0.5428164195367323
2025-10-01,4.11,0.47131147540983614,12876,0.4954520718339423,1935729607,0.5237993604526336
2025-09-30,4.11,0.47131147540983614,9701,0.2486200730778201,1935080270,0.5231659267922019
2025-09-29,4.18,0.49999999999999983,8557,0.15968281116380315,1967377035,0.5546716904773994
2025-09-28,4.11,0.47131147540983614,8134,0.12679779211692452,1933781007,0.5218984848969247
2025-09-27,4.11,0.47131147540983614,7440,0.07284459301873591,1933131703,0.5212650834282683
2025-09-26,4.05,0.4467213114754097,7596,0.08497240146155641,1904310501,0.4931497604435872
2025-09-25,4.16,0.4918032786885246,8632,0.16551348829977455,1955334479,0.5429240766373831
2025-09-24,4.13,0.4795081967213114,9396,0.2249086527248698,1940582649,0.5285335434089248
2025-09-23,4.17,0.4959016393442622,12443,0.4617896291689342,1958723108,0.5462297124956743
2025-09-22,4.42,0.5983606557377048,14554,0.6259037549560755,2075458014,0.660105587130479
2025-09-21,4.46,0.6147540983606556,10872,0.33965637876078675,2093538074,0.6777428364888649
2025-09-20,4.48,0.6229508196721313,9050,0.19800979553758843,2102219798,0.6862119306759796
2025-09-19,4.69,0.709016393442623,10998,0.3494519163492187,2200021949,0.7816187448665032
2025-09-18,4.62,0.680327868852459,10662,0.3233304827800669,2166458474,0.7488772950090938
2025-09-17,4.54,0.6475409836065573,8238,0.1348829977454715,2128229744,0.7115848499804595
2025-09-16,4.5,0.6311475409836065,10094,0.2791728212703102,2108774876,0.692606463949081
2025-09-15,4.65,0.6926229508196722,9457,0.22965093679545984,2178336707,0.7604646103917866
2025-09-14,4.83,0.7663934426229507,8804,0.17888517453160227,2261900984,0.8419822597194015
2025-09-13,4.76,0.7377049180327867,10746,0.3298608411723548,2228372925,0.8092753584654413
2025-09-12,4.69,0.709016393442623,9840,0.2594262613698204,2194866123,0.7765891935923122
2025-09-11,4.68,0.704918032786885,9211,0.21052631578947367,2189451794,0.7713074704851245
2025-09-10,4.59,0.6680327868852457,10550,0.31462333825701627,2146627170,0.729531692519392
2025-09-09,4.56,0.6557377049180325,10352,0.29923035061805175,2131882969,0.7151486014440768
2025-09-08,4.5,0.6311475409836065,9762,0.25336235714841016,2103126488,0.6870964143348145
2025-09-07,4.42,0.5983606557377048,8811,0.17942937106429294,2065045051,0.6499476548564352
2025-09-06,4.44,0.6065573770491804,9129,0.20415144212081163,2073694282,0.6583850518509852
2025-09-05,4.38,0.581967213114754,9682,0.24714296820337403,2044985592,0.6303794852609074
2025-09-04,4.53,0.6434426229508197,8650,0.16691285081240767,2114309817,0.6980058450684442
2025-09-03,4.42,0.5983606557377048,8787,0.17756355438078208,2062277083,0.6472474789813534
2025-09-02,4.39,0.5860655737704916,8708,0.1714219077975589,2047592494,0.6329225399093364
2025-09-01,4.45,0.610655737704918,10154,0.2838373629790873,2074879137,0.6595408877878421
2025-08-31,4.51,0.6352459016393441,9760,0.2532068724247843,2102147611,0.6861415116552776
2025-08-30,4.47,0.6188524590163933,7608,0.08590530980331182,2082802372,0.6672700696279518
2025-08-29,4.79,0.7499999999999999,7758,0.0975666640752546,2231142151,0.8119767615300176
2025-08-28,4.5,0.6311475409836065,9771,0.25406203840472674,2095358530,0.6795187065035646
2025-08-27,4.53,0.6434426229508197,9961,0.2688330871491876,2108634428,0.6924694557534287
2025-08-26,4.4,0.5901639344262296,9510,0.23377128197154629,2047420849,0.6327550987799309
2025-08-25,4.8,0.7540983606557375,9662,0.245588120967115,2232801442,0.8135954137427385
2025-08-24,4.89,0.7909836065573768,9556,0.2373474306149421,2273919030,0.8537059638499493
2025-08-23,4.82,0.7622950819672131,14860,0.6496929176708388,2240616860,0.8212194191999117
2025-08-22,4.44,0.6065573770491804,12126,0.4371453004742284,2063278646,0.6482245120431426
2025-08-21,4.47,0.6188524590163933,11070,0.3550493663997512,2076508821,0.661130658125074
2025-08-20,4.31,0.55327868852459,7695,0.09266889528103864,2001510668,0.5879693342202096
2025-08-19,4.47,0.6188524590163933,8295,0.13931431236880976,2075117978,0.6597738791758135
2025-08-18,4.63,0.6844262295081965,13262,0.5254606234937418,2148690433,0.7315444227881485
2025-08-17,4.57,0.6598360655737705,10635,0.32123143901111717,2120120243,0.7036739641034723
2025-08-16,4.46,0.6147540983606556,9124,0.20376273031174688,2068410675,0.653230849145313
2025-08-15,4.53,0.6434426229508197,8566,0.16038249242011973,2100172097,0.6842143812680453
2025-08-14,4.87,0.7827868852459016,12103,0.43535722615253053,2257033182,0.8372336782599789
2025-08-13,4.73,0.7254098360655739,14868,0.6503148565653425,2191420907,0.773228356643458
2025-08-12,4.54,0.6475409836065573,11442,0.3839695249941693,2102780302,0.6867587070038442
2025-08-11,4.65,0.6926229508196722,10280,0.29363290056751923,2152915153,0.7356656723918201
2025-08-10,4.74,0.7295081967213115,9739,0.2515742828267123,2193841013,0.775589190235588
